Model_ID	Name	Prediction Type	End Point	Group	Title	Number compounds in the training set	Number compounds in the test set	Validation approach	R2	RMSE	Balanced Accuracy	AUC	Descriptors	Machine learning approach	Applicability domain	Reference	Source	Link
CHEMBL5162	Neuropeptide S receptor -Log(IC50) M	Regression	-Log(IC50) M	Target	Neuropeptide S receptor -Log(IC50) M model	40	8	external test set validation 	0.31	0.514	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5163	Sodium channel protein type 3 subunit alpha -Log(IC50) M	Regression	-Log(IC50) M	Target	Sodium channel protein type 3 subunit alpha -Log(IC50) M model	25	5	external test set validation 	0	0.374	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5203	"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial -Log(IC50) M"	Regression	-Log(IC50) M	Target	"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial -Log(IC50) M model"	145	29	external test set validation 	0.48	0.521	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5212	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 -Log(IC50) M"	Regression	-Log(IC50) M	Target	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 -Log(IC50) M model"	10	2	external test set validation 	1	0.409	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5215	"Solute carrier family 2, facilitated glucose transporter member 3 -Log(IC50) M"	Regression	-Log(IC50) M	Target	"Solute carrier family 2, facilitated glucose transporter member 3 -Log(IC50) M model"	35	7	external test set validation 	0.03	0.829	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5247	Integrin-linked protein kinase -Log(IC50) M	Regression	-Log(IC50) M	Target	Integrin-linked protein kinase -Log(IC50) M model	195	39	external test set validation 	0.51	0.467	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5251	Tyrosine-protein kinase BTK -Log(IC50) M	Regression	-Log(IC50) M	Target	Tyrosine-protein kinase BTK -Log(IC50) M model	690	138	external test set validation 	0.67	0.651	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5255	Toll-like receptor 4 -Log(IC50) M	Regression	-Log(IC50) M	Target	Toll-like receptor 4 -Log(IC50) M model	30	6	external test set validation 	0.79	0.904	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5260	Serine/threonine-protein kinase TNNI3K -Log(IC50) M	Regression	-Log(IC50) M	Target	Serine/threonine-protein kinase TNNI3K -Log(IC50) M model	70	14	external test set validation 	0.83	0.426	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5281	Cytochrome P450 2E1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Cytochrome P450 2E1 -Log(IC50) M model	50	10	external test set validation 	0.23	0.329	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5282	Cytochrome P450 2A6 -Log(IC50) M	Regression	-Log(IC50) M	Target	Cytochrome P450 2A6 -Log(IC50) M model	185	37	external test set validation 	0.18	0.86	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5285	Mitogen-activated protein kinase kinase kinase 5 -Log(IC50) M	Regression	-Log(IC50) M	Target	Mitogen-activated protein kinase kinase kinase 5 -Log(IC50) M model	85	17	external test set validation 	0.85	0.558	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5287	Sodium/bile acid cotransporter -Log(IC50) M	Regression	-Log(IC50) M	Target	Sodium/bile acid cotransporter -Log(IC50) M model	25	5	external test set validation 	0.55	0.803	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5310	Activin receptor type-1B -Log(IC50) M	Regression	-Log(IC50) M	Target	Activin receptor type-1B -Log(IC50) M model	35	7	external test set validation 	0.07	1.341	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5314	Tyrosine-protein kinase receptor TYRO3 -Log(IC50) M	Regression	-Log(IC50) M	Target	Tyrosine-protein kinase receptor TYRO3 -Log(IC50) M model	215	43	external test set validation 	0.5	0.619	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5331	Tyrosine-protein kinase Mer -Log(IC50) M	Regression	-Log(IC50) M	Target	Tyrosine-protein kinase Mer -Log(IC50) M model	195	39	external test set validation 	0.79	0.608	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5347	Glucose-6-phosphate 1-dehydrogenase -Log(IC50) M	Regression	-Log(IC50) M	Target	Glucose-6-phosphate 1-dehydrogenase -Log(IC50) M model	275	55	external test set validation 	0.14	0.332	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5366	Poly [ADP-ribose] polymerase 2 -Log(IC50) M	Regression	-Log(IC50) M	Target	Poly [ADP-ribose] polymerase 2 -Log(IC50) M model	40	8	external test set validation 	0.68	0.82	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5368	Acid-sensing ion channel 3 -Log(IC50) M	Regression	-Log(IC50) M	Target	Acid-sensing ion channel 3 -Log(IC50) M model	75	15	external test set validation 	0.63	0.596	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5378	P-selectin -Log(IC50) M	Regression	-Log(IC50) M	Target	P-selectin -Log(IC50) M model	170	34	external test set validation 	0.39	0.937	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5393	ATP-binding cassette sub-family G member 2 -Log(IC50) M	Regression	-Log(IC50) M	Target	ATP-binding cassette sub-family G member 2 -Log(IC50) M model	440	88	external test set validation 	0.54	0.548	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5399	Pituitary adenylate cyclase-activating polypeptide type I receptor -Log(IC50) M	Regression	-Log(IC50) M	Target	Pituitary adenylate cyclase-activating polypeptide type I receptor -Log(IC50) M model	60	12	external test set validation 	0.85	0.52	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5401	Signal transducer and activator of transcription 6 -Log(IC50) M	Regression	-Log(IC50) M	Target	Signal transducer and activator of transcription 6 -Log(IC50) M model	115	23	external test set validation 	0.82	0.542	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5406	Histone-arginine methyltransferase CARM1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Histone-arginine methyltransferase CARM1 -Log(IC50) M model	60	12	external test set validation 	0.82	0.695	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5407	Serine/threonine-protein kinase pim-3 -Log(IC50) M	Regression	-Log(IC50) M	Target	Serine/threonine-protein kinase pim-3 -Log(IC50) M model	495	99	external test set validation 	0.67	0.471	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5408	Serine/threonine-protein kinase TBK1 -Log(IC50) M	Regression	-Log(IC50) M	Target	Serine/threonine-protein kinase TBK1 -Log(IC50) M model	210	42	external test set validation 	0.38	0.655	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5409	G-protein coupled bile acid receptor 1 -Log(IC50) M	Regression	-Log(IC50) M	Target	G-protein coupled bile acid receptor 1 -Log(IC50) M model	35	7	external test set validation 	0.14	0.661	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
CHEMBL5413	KiSS-1 receptor -Log(IC50) M	Regression	-Log(IC50) M	Target	KiSS-1 receptor -Log(IC50) M model	70	14	external test set validation 	0.2	1.177	N/A	N/A	"The model was developed using the RDkit fingerprints: Morgan, Avalon and Atom Pairs (ref1)."	"Deep Learning model was built using multi-layer feedforward neural networks implemented in Keras using the Theano backend (ref2). For minimization of the loss function we used ADAM algorithm, which computes individual adaptive learning rates for different parameters from estimates of first and second moments of the gradients. To construct the best DL model the following parameters were considered: the number of layers {4}, the number of neurons {4000, 2000, 700, 500}, activation function {Rectified Linear}, batch normalization was performed for each layer."	The nearest neighbor from the training set is calculated for each test compound using similarity estimation. The pair-wise Tanimoto similarity of this compound with each of its neighbor is calculated using the Morgan fingerprints. The similarity values is used for assessment of the applicability domain (AD) of the model. For that model an AD threshold of 0.7 was used.	Ref1: http://www.rdkit.org/|Ref2: https://keras.io/	"ChEMBL database, version 23"	chembl_training_set.csv
